None,ticker,volume,adj_close
0,AAPL,53204626.0,103.86395724039
1,AAPL,64285491.0,100.9379443592
2,AAPL,65797116.0,100.94744440102
3,AAPL,40105934.0,102.36295063251
4,AAPL,59364547.0,106.29596794683
5,AAPL,53315099.0,106.4099684487
6,AAPL,49650790.0,103.78795690581
7,AAPL,67091928.0,104.70946096255
8,AAPL,48956588.0,104.31045920603
9,AAPL,60013996.0,101.47944674306
10,AAPL,78513345.0,100.69094327183
11,AAPL,49899907.0,103.28445468924
12,AAPL,48575897.0,104.07295816047
13,AAPL,53796409.0,106.78047007976
14,AAPL,46464828.0,107.33147250543
15,AAPL,55614979.0,107.4454730073
16,AAPL,95568749.0,103.68345644577
17,AAPL,146477063.0,109.54498224997
18,AAPL,84436432.0,112.95549726408
19,AAPL,83745461.0,111.30248998705
20,AAPL,62739100.0,112.69899613489
21,AAPL,51915749.0,112.71799621853
22,AAPL,70149743.0,113.58250002434
23,AAPL,42246245.0,114.39000357921
24,AAPL,43706567.0,113.42673941701
25,AAPL,38889797.0,114.18018366269
26,AAPL,62008506.0,116.37375551722
27,AAPL,73561797.0,119.10141443198
28,AAPL,74474466.0,120.60830292335
29,AAPL,54272219.0,121.19961359718
30,AAPL,63152405.0,121.91490876714
31,AAPL,44891737.0,122.75895706769
32,AAPL,37362381.0,122.50621944097
33,AAPL,48948419.0,123.50286404444
34,AAPL,70974110.0,126.84567680536
35,AAPL,69228130.0,126.05408348395
36,AAPL,74711746.0,122.83048658468
37,AAPL,91287529.0,124.38029278625
38,AAPL,62014847.0,122.5157567099
39,AAPL,48096663.0,123.11660465266
40,AAPL,37816283.0,123.37411091385
41,AAPL,31666340.0,122.59205486136
42,AAPL,56517146.0,120.56061657869
43,AAPL,72842060.0,120.74182468841
44,AAPL,88528487.0,121.25683721078
45,AAPL,68856582.0,118.74853548147
46,AAPL,68938974.0,116.58357543374
47,AAPL,48362719.0,118.69131186788
48,AAPL,51827283.0,117.87110673966
49,AAPL,35874300.0,119.16817531451
50,AAPL,51023104.0,121.16146452145
51,AAPL,65270945.0,122.52529397883
52,AAPL,45809490.0,121.59541025789
53,AAPL,68695136.0,120.07421586312
54,AAPL,37709674.0,121.32359809331
55,AAPL,32842304.0,120.82766010881
56,AAPL,51655177.0,117.67082409207
57,AAPL,47572869.0,118.49102922029
58,AAPL,39546151.0,117.54683959595
59,AAPL,47099670.0,120.52246750296
60,AAPL,42090553.0,118.67223733001
61,AAPL,40621437.0,118.50056648922
62,AAPL,32220131.0,119.52105426502
63,AAPL,37193975.0,121.45711985837
64,AAPL,35012268.0,120.17912582138
65,AAPL,37329243.0,119.78809779514
66,AAPL,32483974.0,120.70367561268
67,AAPL,40187953.0,121.21868813505
68,AAPL,36365123.0,120.98025641173
69,AAPL,25524593.0,120.45570662043
70,AAPL,28970419.0,120.9134955292
71,AAPL,28368987.0,120.33172212431
72,AAPL,51957046.0,118.97742993586
73,AAPL,47054310.0,121.69555158169
74,AAPL,32435057.0,121.03748002533
75,AAPL,37654505.0,122.66835301283
76,AAPL,45770902.0,123.66976625076
77,AAPL,44525905.0,124.25153965566
78,AAPL,96954207.0,126.51187239272
79,AAPL,118923970.0,124.51858318578
80,AAPL,63386083.0,122.68742755069
81,AAPL,83195423.0,119.35892069317
82,AAPL,58512638.0,122.98308288761
83,AAPL,50988278.0,122.74465116429
84,AAPL,49271416.0,119.97884317379
85,AAPL,72141010.0,119.22539892811
86,AAPL,43940895.0,119.95976863593
87,AAPL,55550382.0,122.21990797794
88,AAPL,42035757.0,120.97491596751
89,AAPL,48160032.0,120.53916876386
90,AAPL,34694235.0,120.67803325733
91,AAPL,45203456.0,123.49363057323
92,AAPL,38208034.0,123.3212470641
93,AAPL,50882918.0,124.68116141395
94,AAPL,44633240.0,124.56623907453
95,AAPL,36454932.0,124.55666221291
96,AAPL,39730364.0,125.8303848082
97,AAPL,45595972.0,126.93172389435
98,AAPL,70697560.0,124.13528030169
99,AAPL,45833246.0,126.45766924422
100,AAPL,30733309.0,126.20388241133
101,AAPL,50884452.0,124.76735316852
102,AAPL,32112797.0,125.0115631398
103,AAPL,33667627.0,124.46089359672
104,AAPL,30983542.0,124.61412338262
105,AAPL,38450118.0,123.8862818996
106,AAPL,35626800.0,123.20632472467
107,AAPL,52674786.0,122.39229148708
108,AAPL,56075420.0,122.02837074557
109,AAPL,39087250.0,123.4265925419
110,AAPL,35390887.0,123.14886355496
111,AAPL,36886246.0,121.7889492051
112,AAPL,43988946.0,121.54952766463
113,AAPL,31494131.0,122.20075425471
114,AAPL,32918071.0,121.91344840615
115,AAPL,35407220.0,122.46890638003
116,AAPL,54716887.0,121.24306809284
117,AAPL,34039345.0,122.21033111633
118,AAPL,30268863.0,121.65487314244
119,AAPL,55280855.0,122.68917419726
120,AAPL,31938100.0,122.10498563852
121,AAPL,44066841.0,121.38672101712
122,AAPL,49161427.0,119.26065773776
123,AAPL,44370682.0,120.11778685264
124,AAPL,30238811.0,121.24306809284
125,AAPL,27210952.0,121.08983830694
126,AAPL,28060431.0,120.66845639571
127,AAPL,46946811.0,120.37157368553
128,AAPL,60761614.0,117.3835928605
129,AAPL,78595038.0,114.98937745582
130,AAPL,61354474.0,118.06355003542
131,AAPL,41440538.0,120.34284310068
132,AAPL,31768139.0,120.29495879258
133,AAPL,33649200.0,121.45375904845
134,AAPL,36222447.0,123.07224866201
135,AAPL,46164710.0,124.13528030169
136,AAPL,58900203.0,126.48161139827
137,AAPL,76756427.0,125.2174656646
138,AAPL,115450607.0,119.92146118945
