None,ticker,volume,adj_close
0,AAPL,29173285.0,96.223735905873
1,AAPL,40191600.0,95.500543090818
2,AAPL,28504888.0,95.6960006084
3,AAPL,23292504.0,96.389874795818
4,AAPL,22409450.0,96.780789830983
5,AAPL,20848131.0,96.692833948071
6,AAPL,26601354.0,97.386708135489
7,AAPL,31712936.0,96.585332313401
8,AAPL,38020494.0,95.129173807411
9,AAPL,31931944.0,95.24644831796
10,AAPL,29445227.0,94.933716289828
11,AAPL,31326815.0,95.334404200873
12,AAPL,61008219.0,93.164825755707
13,AAPL,34411901.0,92.940049610487
14,AAPL,35546358.0,93.731652556696
15,AAPL,29219122.0,93.379829025047
16,AAPL,32240187.0,93.917337198399
17,AAPL,75311356.0,91.278660711035
18,AAPL,46622188.0,89.949549591474
19,AAPL,40444914.0,91.464345352739
20,AAPL,36531006.0,92.255948298948
21,AAPL,35836356.0,93.428693404443
22,AAPL,26026540.0,93.712106804938
23,AAPL,27705210.0,92.832547975816
24,AAPL,30949090.0,93.360283273289
25,AAPL,25139558.0,93.760971184333
26,AAPL,28912103.0,94.484163999389
27,AAPL,23794945.0,94.777350275762
28,AAPL,24167463.0,95.207356814444
29,AAPL,25892171.0,94.669848641092
30,AAPL,38918997.0,96.546240809884
31,AAPL,30136990.0,96.536467934005
32,AAPL,36493867.0,97.562619901313
33,AAPL,23779924.0,97.60171140483
34,AAPL,26275968.0,97.689667287742
35,AAPL,32702028.0,97.171704866148
36,AAPL,28313669.0,96.419193423456
37,AAPL,40382921.0,95.129173807411
38,AAPL,56239822.0,94.47439112351
39,AAPL,92344820.0,100.6117571756
40,AAPL,39869839.0,101.9701869228
41,AAPL,27733688.0,101.84313953637
42,AAPL,38167871.0,103.64134869813
43,AAPL,33816556.0,102.10700718511
44,AAPL,30202641.0,103.38725392527
45,AAPL,27408650.0,104.02249085742
46,AAPL,40553402.0,105.60439517668
47,AAPL,28037220.0,106.47886402397
48,AAPL,26315204.0,106.91118570129
49,AAPL,24008505.0,106.11532079532
50,AAPL,27484506.0,106.04654234666
51,AAPL,18660434.0,106.29217966332
52,AAPL,25868209.0,107.56949370993
53,AAPL,33794448.0,107.47123878326
54,AAPL,25355976.0,107.3140309006
55,AAPL,21984703.0,107.17647400328
56,AAPL,25368072.0,107.45158779793
57,AAPL,25820230.0,106.6164209213
58,AAPL,21257669.0,106.95048767195
59,AAPL,23675081.0,106.14479727332
60,AAPL,25086248.0,105.69282461068
61,AAPL,27766291.0,105.0738185727
62,AAPL,24970300.0,104.95591266071
63,AAPL,24863945.0,104.15022226208
64,AAPL,29662406.0,104.24847718874
65,AAPL,26701523.0,104.86748322671
66,AAPL,26802450.0,105.85003249333
67,AAPL,26880391.0,105.82055601534
68,AAPL,42364328.0,106.46903853131
69,AAPL,53002026.0,103.6785986141
70,AAPL,46556984.0,101.33030586687
71,AAPL,45292770.0,103.59999467277
72,AAPL,62176190.0,106.06619333199
73,AAPL,112340318.0,109.81953153049
74,AAPL,90613177.0,113.55321874366
75,AAPL,79886911.0,112.91456172036
76,AAPL,47023046.0,111.59794570308
77,AAPL,34514269.0,111.58812021042
78,AAPL,36003185.0,111.56846922508
79,AAPL,31073984.0,112.61979694037
80,AAPL,52481151.0,110.74312784112
81,AAPL,29869442.0,110.91016121645
82,AAPL,24607412.0,111.11649656244
83,AAPL,29641085.0,111.96148893173
84,AAPL,35886990.0,110.22237672981
85,AAPL,36379106.0,111.07719459177
86,AAPL,21701760.0,110.55644348046
87,AAPL,29736835.0,111.02806712844
88,AAPL,21453089.0,111.07719459177
89,AAPL,28779313.0,111.90253597573
90,AAPL,24358443.0,112.06956935106
91,AAPL,36235956.0,114.02484239164
92,AAPL,64041043.0,114.2704797083
93,AAPL,37586787.0,115.29233094559
94,AAPL,35192406.0,114.9386132096
95,AAPL,35652191.0,115.57727023291
96,AAPL,23624896.0,115.49866629158
97,AAPL,24553478.0,115.42006235025
98,AAPL,20034594.0,115.07617010693
99,AAPL,24125801.0,115.01721715093
100,AAPL,23192665.0,114.56524448828
101,AAPL,23538673.0,115.59692121824
102,AAPL,48128970.0,116.18645077821
103,AAPL,66134219.0,113.57286972899
104,AAPL,34562045.0,112.48224004304
105,AAPL,37861662.0,111.73550260041
106,AAPL,26419398.0,111.55864373242
107,AAPL,43825812.0,109.54441773584
108,AAPL,28331709.0,109.6426726625
109,AAPL,26932602.0,108.47343903522
110,AAPL,30836997.0,107.49566698164
111,AAPL,32560000.0,109.04627518782
112,AAPL,24254179.0,109.68824673815
113,AAPL,59176361.0,109.51047000114
114,AAPL,57134541.0,106.45863601572
115,AAPL,34143898.0,107.09073108066
116,AAPL,51175504.0,104.40432705466
117,AAPL,32264510.0,105.78703500922
118,AAPL,58840522.0,108.63146280145
119,AAPL,27632003.0,108.5919568599
120,AAPL,28428917.0,108.70059819918
121,AAPL,29264571.0,110.34997125926
122,AAPL,25965534.0,110.41910665699
123,AAPL,27426394.0,109.85614698978
124,AAPL,11475922.0,110.4092301716
125,AAPL,27193983.0,110.19194749303
126,AAPL,28528750.0,110.08330615374
127,AAPL,36162258.0,109.15491652711
128,AAPL,37086862.0,108.13763853197
129,AAPL,26527997.0,108.54257443295
130,AAPL,34324540.0,107.76233208716
131,AAPL,26195462.0,108.5919568599
132,AAPL,29998719.0,109.65861728198
133,AAPL,27068316.0,110.73515418946
134,AAPL,34402627.0,112.54255101578
135,AAPL,26374377.0,111.90057946545
136,AAPL,43733811.0,113.76723520411
137,AAPL,34031834.0,113.76723520411
138,AAPL,46524544.0,114.38945378366
139,AAPL,44351134.0,114.5376010645
140,AAPL,27779423.0,115.19932558561
141,AAPL,21424965.0,115.50549663269
142,AAPL,23783165.0,115.61413797198
143,AAPL,26085854.0,114.85364859697
144,AAPL,14249484.0,115.08080776094
145,AAPL,18296855.0,115.81166767978
146,AAPL,20905892.0,115.31784341029
147,AAPL,15039519.0,115.28821395412
148,AAPL,30586265.0,114.38945378366
149,AAPL,28781865.0,114.71537780152
150,AAPL,21118116.0,114.58698349145
151,AAPL,22193587.0,115.16969612944
152,AAPL,31751900.0,116.45363923011
153,AAPL,33561948.0,117.5202996522
154,AAPL,24462051.0,117.63881747687
155,AAPL,27588593.0,118.27091254181
156,AAPL,27086220.0,117.77708827233
157,AAPL,26111948.0,117.56968207915
158,AAPL,34439843.0,118.51782467656
159,AAPL,23712961.0,118.50794819117
160,AAPL,25597291.0,118.30054199798
161,AAPL,32597892.0,118.51782467656
162,AAPL,22050218.0,118.59683655968
163,AAPL,23211038.0,118.48819522039
164,AAPL,32586673.0,120.37460392982
165,AAPL,26337576.0,120.43386284216
166,AAPL,20562944.0,120.44373932755
167,AAPL,30377503.0,120.12769179508
168,AAPL,49200993.0,119.85115020417
169,AAPL,111985040.0,127.15974939256
170,AAPL,33710411.0,126.94246671398
171,AAPL,24507301.0,127.48567341042
